date,sleep_hours,work_hours,screen_time,tasks_planned,tasks_completed,exercise_minutes,break_minutes,meetings,social_media_minutes,mood_score,previous_productivity,productivity_score,task_completion_rate,disruption_risk
2026-01-01,7.7,6.2,7.6,7,3,15,55,0,93.0,7,70.0,57.15,0.43,MEDIUM
2026-01-02,6.8,5.9,2.1,2,1,90,53,0,34.0,2,57.15,54.18,0.5,HIGH
2026-01-03,8.0,7.9,6.4,2,1,15,46,2,25.0,9,54.18,81.71,0.5,MEDIUM
2026-01-04,9.3,9.1,3.5,4,1,15,111,3,36.0,10,81.71,91.2,0.25,LOW
2026-01-05,6.6,7.4,4.2,5,4,0,65,4,63.0,4,91.2,64.81,0.8,MEDIUM
2026-01-06,6.6,8.0,5.1,6,5,30,110,2,0.0,3,64.81,59.58,0.83,HIGH
2026-01-07,9.4,5.6,4.7,3,2,0,45,1,44.0,4,59.58,66.78,0.67,MEDIUM
2026-01-08,8.2,6.3,1.0,1,0,0,43,1,61.0,8,66.78,73.68,0.0,LOW
2026-01-09,6.3,9.0,8.5,5,1,0,21,3,170.0,1,73.68,34.62,0.2,HIGH
2026-01-10,7.8,7.1,7.8,1,0,0,41,2,79.0,6,34.62,50.6,0.0,MEDIUM
2026-01-11,6.3,5.5,4.6,5,3,30,39,5,36.0,9,50.6,72.66,0.6,MEDIUM
2026-01-12,6.3,6.1,7.3,9,6,30,41,5,143.0,2,72.66,41.35,0.67,HIGH
2026-01-13,7.4,8.1,4.0,6,4,45,44,0,66.0,3,41.35,61.59,0.67,HIGH
2026-01-14,4.1,8.3,2.5,5,3,90,37,5,58.0,8,61.59,80.54,0.6,HIGH
2026-01-15,4.4,4.3,5.1,3,1,0,77,0,95.0,4,80.54,33.23,0.33,HIGH
2026-01-16,6.2,6.7,2.1,6,2,0,60,3,129.0,1,33.23,54.85,0.33,HIGH
2026-01-17,5.5,6.0,6.5,8,7,0,81,2,134.0,2,54.85,40.79,0.88,HIGH
2026-01-18,7.5,5.9,3.2,1,0,0,71,1,77.0,4,40.79,49.34,0.0,MEDIUM
2026-01-19,5.6,8.7,1.0,2,1,0,117,3,30.0,6,49.34,65.08,0.5,MEDIUM
2026-01-20,4.9,5.5,1.0,8,4,15,118,0,34.0,10,65.08,78.73,0.5,HIGH
2026-01-21,9.2,4.8,4.7,8,5,30,119,5,20.0,4,78.73,61.59,0.62,MEDIUM
2026-01-22,6.7,4.4,5.8,4,2,15,24,1,14.0,10,61.59,58.46,0.5,LOW
2026-01-23,7.1,5.7,8.3,7,3,0,62,0,31.0,10,58.46,56.17,0.43,HIGH
2026-01-24,4.9,4.5,1.0,4,3,0,67,2,19.0,10,56.17,71.69,0.75,HIGH
2026-01-25,6.2,4.3,7.5,3,2,30,99,5,140.0,2,71.69,31.65,0.67,HIGH
2026-01-26,7.2,4.2,3.8,2,1,0,31,4,33.0,10,31.65,67.5,0.5,LOW
2026-01-27,5.3,4.3,4.8,1,0,0,96,0,33.0,1,67.5,18.56,0.0,HIGH
2026-01-28,7.6,4.5,5.0,3,1,30,43,0,50.0,8,18.56,63.36,0.33,LOW
2026-01-29,6.1,6.8,5.0,6,2,45,45,3,56.0,3,63.36,38.14,0.33,HIGH
2026-01-30,6.6,2.1,1.0,9,6,45,33,4,136.0,3,38.14,47.51,0.67,HIGH
2026-01-31,6.1,4.6,6.8,7,6,0,108,5,93.0,1,47.51,41.47,0.86,HIGH
2026-02-01,9.8,5.8,7.1,9,4,0,104,0,31.0,7,41.47,66.1,0.44,MEDIUM
2026-02-02,7.0,8.3,7.4,1,0,30,75,2,7.0,4,66.1,49.53,0.0,MEDIUM
2026-02-03,5.4,5.5,6.2,6,2,45,23,0,69.0,3,49.53,33.47,0.33,HIGH
2026-02-04,8.2,5.7,4.5,2,0,30,47,5,36.0,10,33.47,72.67,0.0,LOW
2026-02-05,5.2,5.8,1.3,7,4,15,81,2,74.0,7,72.67,69.47,0.57,MEDIUM
2026-02-06,7.3,2.4,6.1,6,5,0,52,0,57.0,7,69.47,65.44,0.83,MEDIUM
2026-02-07,4.1,7.3,5.1,9,5,0,109,4,35.0,4,65.44,48.46,0.56,HIGH
2026-02-08,5.0,7.2,5.0,7,4,0,48,2,0.0,4,48.46,52.85,0.57,MEDIUM
2026-02-09,7.3,7.6,6.1,2,1,45,53,5,0.0,10,52.85,77.77,0.5,MEDIUM
2026-02-10,8.1,11.0,4.9,4,2,90,44,0,49.0,10,77.77,100.0,0.5,LOW
2026-02-11,7.3,3.4,3.9,7,2,30,45,3,104.0,6,100.0,58.21,0.29,LOW
2026-02-12,6.8,3.0,2.1,5,3,30,48,3,44.0,3,58.21,57.65,0.6,HIGH
2026-02-13,6.5,7.4,5.0,9,5,0,106,1,90.0,1,57.65,45.27,0.56,HIGH
2026-02-14,4.8,5.3,8.7,8,6,45,43,3,37.0,3,45.27,25.55,0.75,HIGH
2026-02-15,5.9,4.0,2.2,8,2,15,45,2,151.0,8,25.55,68.52,0.25,MEDIUM
2026-02-16,6.3,5.4,7.5,1,0,90,28,2,0.0,9,68.52,54.44,0.0,MEDIUM
2026-02-17,8.6,4.8,6.8,6,3,60,27,2,25.0,10,54.44,81.17,0.5,MEDIUM
2026-02-18,7.5,9.4,1.0,5,4,0,55,0,0.0,4,81.17,78.44,0.8,MEDIUM
2026-02-19,4.4,10.5,6.5,4,3,0,80,1,45.0,9,78.44,65.26,0.75,HIGH
2026-02-20,7.5,2.7,5.0,4,3,45,99,3,144.0,5,65.26,60.2,0.75,MEDIUM
2026-02-21,6.4,3.0,4.8,1,0,60,21,1,97.0,7,60.2,52.72,0.0,MEDIUM
2026-02-22,6.0,4.5,10.0,5,2,30,96,4,0.0,5,52.72,45.47,0.4,HIGH
2026-02-23,7.9,4.6,7.4,7,2,0,27,0,16.0,10,45.47,58.15,0.29,MEDIUM
2026-02-24,8.5,4.4,2.7,1,0,60,104,1,92.0,10,58.15,76.38,0.0,LOW
2026-02-25,8.4,5.6,6.6,1,0,30,16,4,38.0,9,76.38,56.15,0.0,MEDIUM
2026-02-26,5.7,5.1,2.7,7,5,30,62,5,135.0,5,56.15,60.13,0.71,MEDIUM
2026-02-27,6.5,3.3,2.8,3,1,15,98,3,118.0,8,60.13,54.62,0.33,LOW
2026-02-28,7.5,3.9,5.4,2,0,60,29,5,43.0,9,54.62,59.77,0.0,LOW
2026-03-01,8.5,9.1,7.9,1,0,30,16,1,103.0,3,59.77,47.52,0.0,HIGH
2026-03-02,6.3,5.3,1.3,6,4,0,59,3,79.0,2,47.52,59.5,0.67,HIGH
2026-03-03,6.7,5.2,3.7,6,1,0,33,1,51.0,2,59.5,50.63,0.17,HIGH
2026-03-04,5.3,3.0,7.9,2,1,30,46,3,69.0,3,50.63,30.2,0.5,HIGH
2026-03-05,5.2,5.1,2.6,5,2,45,19,3,95.0,8,30.2,61.24,0.4,MEDIUM
2026-03-06,8.2,7.9,5.1,7,2,60,34,4,61.0,3,61.24,52.52,0.29,HIGH
2026-03-07,9.0,7.2,4.2,9,6,45,54,1,37.0,2,52.52,57.63,0.67,HIGH
2026-03-08,6.9,7.6,8.2,4,2,0,10,5,83.0,3,57.63,41.92,0.5,HIGH
2026-03-09,8.5,3.6,5.8,2,1,30,104,5,36.0,9,41.92,65.21,0.5,LOW
2026-03-10,7.5,3.6,4.3,3,2,30,96,3,40.0,9,65.21,81.09,0.67,LOW
2026-03-11,6.0,8.3,2.9,6,5,0,97,4,119.0,8,81.09,70.13,0.83,MEDIUM
2026-03-12,7.5,7.7,10.3,2,1,0,31,0,52.0,1,70.13,32.65,0.5,HIGH
2026-03-13,9.3,5.5,4.8,3,2,90,13,2,75.0,10,32.65,83.7,0.67,LOW
2026-03-14,6.9,7.7,4.4,4,3,60,101,3,26.0,7,83.7,81.84,0.75,LOW
2026-03-15,9.3,3.6,6.2,6,3,60,65,3,95.0,5,81.84,55.31,0.5,MEDIUM
2026-03-16,4.0,3.5,6.8,2,1,30,116,2,31.0,9,55.31,41.81,0.5,HIGH
2026-03-17,8.2,2.8,1.5,9,6,15,43,4,49.0,1,41.81,53.73,0.67,HIGH
2026-03-18,7.1,6.7,4.5,8,2,0,47,0,55.0,4,53.73,54.1,0.25,MEDIUM
2026-03-19,6.6,6.4,2.3,9,6,30,93,5,96.0,4,54.1,62.68,0.67,MEDIUM
2026-03-20,7.1,5.0,3.6,9,8,0,101,2,58.0,7,62.68,71.55,0.89,LOW
2026-03-21,4.0,4.4,8.2,3,1,0,31,3,36.0,6,71.55,28.7,0.33,HIGH
2026-03-22,6.7,10.8,7.9,6,3,30,85,3,60.0,9,28.7,63.95,0.5,MEDIUM
2026-03-23,7.5,5.5,6.5,8,5,15,80,2,37.0,3,63.95,51.93,0.62,HIGH
2026-03-24,9.2,8.8,1.5,6,2,90,25,1,86.0,4,51.93,83.97,0.33,MEDIUM
2026-03-25,6.2,5.7,5.5,6,2,45,67,3,0.0,2,83.97,48.3,0.33,HIGH
