sleep_hours,work_hours,screen_time,exercise_minutes,mood_score,productivity_score,burnout_risk
7.7,6.6,4.3,15,5,75.5,Low
6.8,6.5,5.2,0,7,81.3,Medium
7.9,3.5,4.5,60,6,77.1,Low
9.1,6.8,6.3,30,3,68.3,Medium
6.7,9.1,9.0,45,5,62.4,High
6.7,4.7,4.1,0,3,62.3,Low
9.2,9.8,8.5,0,9,78.7,Medium
8.1,8.6,4.0,0,2,68.2,Medium
6.3,5.9,3.9,15,6,73.4,Low
7.8,7.2,8.0,45,9,85.4,Low
6.4,11.0,8.3,15,10,81.0,Medium
6.3,9.1,8.1,0,7,57.8,High
7.3,7.5,2.7,0,5,81.4,Low
4.3,7.0,4.8,0,2,50.0,High
4.6,7.7,8.1,45,2,56.7,High
6.2,6.4,6.1,15,4,60.9,Medium
5.6,2.9,3.3,45,10,77.8,Low
7.4,12.0,7.1,30,2,56.2,High
5.7,7.8,4.2,0,8,77.2,Medium
5.0,8.4,10.5,0,10,65.1,High
9.1,7.4,9.9,45,7,79.4,Low
6.7,5.9,7.5,45,7,78.5,Low
7.1,7.1,9.4,15,3,54.1,High
5.0,4.0,6.2,0,7,54.7,Medium
6.2,12.5,7.9,0,8,62.5,High
7.2,4.8,9.7,0,5,53.5,Medium
5.4,5.2,6.6,0,1,49.6,High
7.5,6.5,5.4,0,1,54.6,Medium
6.2,10.3,1.7,15,4,83.0,Medium
6.6,7.5,5.8,0,2,61.1,High
6.2,4.8,8.1,0,7,55.8,Medium
9.6,10.3,8.4,60,3,69.7,Medium
7.0,9.1,7.3,30,4,58.6,High
5.5,8.7,4.6,60,9,87.8,Medium
8.2,9.1,1.1,15,2,82.7,Low
5.3,12.8,4.8,30,8,71.3,High
7.3,12.3,5.2,0,1,56.5,High
4.3,6.0,5.2,30,3,55.5,High
5.1,11.1,7.5,0,4,55.6,High
7.3,8.3,11.0,0,6,58.9,High
8.0,8.6,6.3,60,1,71.3,Medium
7.2,3.8,5.5,30,8,81.6,Low
6.8,7.1,5.4,60,2,77.2,Medium
6.6,5.7,6.3,15,5,69.7,Medium
4.9,9.3,3.9,15,6,71.4,Medium
6.0,9.9,6.3,15,8,70.4,Medium
6.4,2.9,7.1,45,3,46.6,Low
8.5,7.5,6.5,30,9,90.4,Low
7.5,10.0,7.1,60,5,81.2,Medium
4.5,7.1,7.1,0,8,63.5,High
7.5,9.1,1.6,45,4,85.1,Low
6.5,8.3,7.6,15,9,83.2,Medium
6.1,8.3,4.3,0,8,68.0,Medium
7.9,6.9,3.3,30,5,77.8,Low
8.4,4.8,3.2,30,3,79.4,Low
8.3,5.0,7.1,0,1,56.3,Medium
5.8,9.1,5.4,0,5,70.2,High
6.6,7.5,1.8,15,5,76.9,Low
7.5,7.2,7.2,15,4,72.5,Medium
8.4,6.6,2.4,15,10,96.4,Low
6.3,6.8,6.3,0,10,80.7,Low
6.7,9.8,6.6,0,8,77.6,Medium
5.5,6.8,8.2,90,3,63.8,High
5.3,4.5,10.5,60,10,67.9,Low
8.1,9.1,2.6,30,9,97.7,Low
8.9,7.0,5.9,90,3,73.1,Low
6.9,7.6,5.3,30,4,72.3,Medium
8.4,11.0,7.1,0,6,62.9,High
7.5,7.5,6.5,0,9,85.8,Low
6.1,8.1,5.1,60,10,89.0,Low
7.5,4.9,4.9,30,2,60.2,Low
9.2,7.0,3.2,45,2,77.9,Low
6.9,8.8,8.5,60,2,62.9,High
9.2,4.1,7.1,15,5,64.4,Low
3.5,7.9,8.3,0,6,55.7,High
8.2,7.7,5.2,0,3,71.7,Medium
7.1,7.6,4.4,0,3,68.6,Medium
6.6,9.8,3.3,0,2,65.0,High
7.1,8.2,6.9,15,6,69.4,Medium
4.2,10.8,3.4,0,1,43.7,High
6.7,5.3,10.6,0,9,69.2,Medium
7.5,7.8,2.7,15,10,92.7,Low
9.1,7.7,6.7,15,4,84.5,Medium
6.3,5.1,9.9,30,2,43.6,High
5.9,9.6,7.5,15,6,61.7,High
6.3,12.6,6.4,30,5,65.4,High
8.3,7.5,3.6,60,3,79.6,Low
7.5,8.6,2.5,0,3,76.0,Medium
6.3,7.7,7.9,0,5,68.0,High
7.7,5.9,9.8,60,4,65.2,Medium
7.1,3.5,4.9,30,5,66.4,Low
8.4,5.9,3.2,45,2,76.1,Low
6.0,4.4,1.0,0,1,56.6,Medium
6.5,11.2,3.5,45,5,77.8,Medium
6.5,7.2,5.7,60,1,57.8,Medium
5.0,6.7,10.0,30,3,52.5,High
7.4,9.5,7.7,0,8,74.8,Medium
7.4,5.0,6.8,60,8,79.4,Low
7.0,5.8,5.0,45,9,84.2,Low
6.7,7.6,4.5,45,1,67.7,Medium
5.0,9.8,9.5,0,4,52.2,High
6.4,8.6,6.5,45,6,71.1,Medium
6.5,8.0,1.0,0,7,88.1,Low
5.9,7.7,4.3,0,5,71.1,Medium
6.8,8.4,3.9,30,7,86.8,Low
7.6,7.9,4.6,0,10,91.9,Low
9.6,5.2,7.4,30,8,81.4,Low
7.2,7.6,5.7,30,10,94.9,Low
7.4,5.1,5.8,0,6,70.1,Low
6.9,7.7,9.3,30,4,63.1,High
4.3,6.4,4.3,60,1,59.3,Medium
7.0,13.1,10.7,0,5,44.2,High
7.1,7.4,4.3,30,10,97.0,Low
10.4,4.4,6.2,15,10,93.0,Low
6.7,7.2,5.3,30,10,83.3,Low
7.4,8.6,6.3,0,4,72.6,Medium
7.0,11.2,7.1,15,5,66.5,High
5.4,6.2,7.1,0,4,56.6,High
8.6,4.0,4.1,90,9,92.7,Low
8.1,9.3,3.2,30,3,80.5,Medium
8.1,4.5,12.3,30,3,43.8,Medium
5.7,6.5,4.8,15,10,77.2,Low
9.0,6.9,7.7,30,7,81.8,Low
5.0,7.3,2.0,15,2,66.3,Medium
7.8,9.0,5.3,15,9,93.1,Low
10.1,6.0,5.7,30,8,92.4,Low
5.6,6.9,7.2,0,6,63.1,Medium
6.2,7.5,1.0,0,9,96.2,Low
7.1,7.8,6.4,30,3,66.1,Medium
6.3,7.7,3.1,45,4,74.9,Low
4.8,8.5,6.8,0,7,72.6,High
7.1,9.4,3.4,0,1,61.7,High
5.5,8.4,3.9,0,1,60.8,High
